NUTS_ID,Region_LTN,Spss code,PRG,RES,INT,KNW,GDP
FR10,Ile-de-France,1100,-0.161384955,0.356671383,0.284314778,0.220664673,
FRF2,Champagne-Ardenne,1210,-0.176314681,0.179546998,0.247084516,0.180566223,
FRE2,Picardie,1220,-0.187293686,0.233090288,0.164406329,0.002349314,
FRD2,Haute-Normandie ,1230,-0.178709481,0.153528818,0.264245518,0.155273441,
FRB0,Centre — Val de Loire,1240,-0.216866353,0.110781056,0.184655109,0.126096461,
FRD1,Basse-Normandie ,1250,-0.23355333,0.168927622,0.168276988,0.124335065,
FRC1,Bourgogne,1260,-0.270572633,0.033272189,0.305298564,0.128281744,
FRE1,Nord-Pas de Calais,1300,-0.234381525,0.100969348,0.115404153,0.047836279,
FRF3,Lorraine,1410,-0.123487032,-0.039299199,0.161402684,-0.07853159,
FRF1,Alsace,1420,-0.096771294,0.172864615,0.076356381,0.07384715,
FRC2,Franche-Comté,1430,-0.127807587,0.149120486,0.108092172,0.111183251,
FRG0,Pays de la Loire,1510,-0.273802706,0.150136348,0.083107008,0.117317421,
FRH0,Bretagne,1520,-0.239438608,0.097355942,0.174746457,0.133773759,
FRI3,Poitou-Charentes,1530,-0.237879263,-0.128272957,0.301459083,0.079786255,
FRI1,Aquitaine,1610,-0.161398498,0.115694503,0.195023428,0.172376631,
FRJ2,Midi-Pyrénées,1620,-0.163661274,0.321729045,0.199922824,0.152330001,
FRI2,Limousin,1630,-0.259193552,0.069896195,0.345290876,0.075656053,
FRK2,Rhône-Alpes,1710,-0.28791994,0.229698432,0.072792827,0.109944725,
FRK1,Auvergne,1720,-0.093857599,0.14310981,0.187014151,0.113974017,
FRJ1,Languedoc-Roussillon,1810,-0.181862839,0.025658531,0.240069011,0.053237303,
FRL0,Provence-Alpes-Côte d’Azur,1820,-0.22052918,0.273342939,0.136361772,0.084995148,
FRM0,Corse,1830,-0.305188098,0.173265633,0.255995458,0.291021611,
FRY1,Guadeloupe,Missing,,,,,
FRY2,Martinique ,Missing,,,,,
FRY3,Guyane,Missing,,,,,
FRY4,La Réunion,Missing,,,,,
FRY5,Mayotte,Missing,,,,,
HR03,Jadranska Hrvatska,"Aggregate  (32150,32140,32160)",0.060316311,-0.302568092,-0.000523904,0.032790927,11673.27
HR04,Kontinentalna Hrvatska,"Aggregate (32110, 32120)",0.07406621,-0.296329227,0.046655536,0.043765636,24779.47
HU11,Budapest,21110,0.063435015,0.193966047,0.380377026,0.379270469,32489.02
HU12,Pest,21110,0.063435015,0.193966047,0.380377026,0.379270469,9206.45
HU21,Közép-Dunántúl,21210,0.050481756,0.017566883,0.351120595,0.269564727,9401.26
HU22,Nyugat-Dunántúl,21220,0.099764961,0.113922046,0.262094218,0.25000077,8922.09
HU23,Dél-Dunántúl,21230,0.005304855,0.018743588,0.078262252,-0.05321689,6063.38
HU31,Észak-Magyarország,21310,0.035106288,0.033779771,0.101228694,0.132792496,7554.87
HU32,Észak-Alföld,21320,-0.058584558,0.193300817,0.043324982,-0.132033676,8920.88
HU33,Dél-Alföld,21330,0.039417352,0.135912312,0.101691659,0.280177138,8390.97
IE04,Northern and Western,Aggregate,-0.209773577,0.29001221,-0.158605968,-0.259987304,20543.86
IE05,Southern,Aggregate,-0.181403263,0.244159729,-0.078692757,-0.193095002,54497.92
IE06,Eastern and Midland,Aggregate,-0.054896006,0.185277538,-0.172000916,-0.00883175,95145.24
IS00,Iceland,29,0.241314484,0.552512449,0.13621884,0.24297726,
ITC1,Piemonte,5110,-0.168937171,0.075703552,-0.143323553,-0.017157497,120012.03
ITC2,Valle d'Aosta,5110,-0.168937171,0.075703552,-0.143323553,-0.017157497,4091.02
ITC3,Liguria,5120,-0.109902528,0.155675129,-0.081032641,0.054058863,44322.14
ITC4,Lombardia,5130,-0.077467426,0.069951312,-0.035698033,0.000717283,310194.99
ITF1,Abruzzo,5410,-0.194914447,-0.054878552,0.044236572,-0.10952678,27578.97
ITF2,Molise,5410,-0.194914447,-0.054878552,0.044236572,-0.10952678,6244.97
ITF3,Campania,5420,-0.099844263,0.02463683,-0.160263157,-0.183874026,97907.12
ITF4,Puglia,5430,-0.008709338,-0.182678154,-0.075849205,-0.161473442,66580.94
ITF5,Basilicata,5440,-0.00395092,-0.189024982,0.286629379,0.102990081,10546.32
ITF6,Calabria,5450,-0.043342125,-0.129234615,-0.05550939,-0.283503896,31426.52
ITG1,Sicilia,5520,-0.15282544,-0.126833583,-0.034756221,-0.13993523,84769.68
ITG2,Sardegna,5510,-0.64080396,0.518899423,-0.29522939,-0.224250206,30669.69
ITH1,Provincia Autonoma di Bolzano/Bozen,5210,0.142806056,-0.028701628,0.107297161,0.229136549,16242.57
ITH2,Provincia Autonoma di Trento*,5210,0.142806056,-0.028701628,0.107297161,0.229136549,15811.71
ITH3,Veneto,5220,-0.095055458,0.017123384,-0.020258815,0.006301537,136174.11
ITH4,Friuli-Venezia Giulia,5230,0.005797515,0.07360845,0.206403698,0.130585215,33159.7
ITH5,Emilia-Romagna,5240,-0.139436226,0.097712293,-0.100455273,-0.072676996,127191.11
ITI1,Toscana,5310,-0.062933103,0.01012576,-0.010757965,0.031069124,96425.18
ITI2,Umbria,5330,-0.016136707,0.018756432,-0.158500394,-0.163704403,20820.77
